"","duracao_corrigido","campo","lda","sondatipo","dist_navegacao_1","mes_1","detalhamento_1_1"
"151",39.1,"98",5567.59,"DP",66.6795889469788,"12","CONVENCIONAL RCMA"
"152",26.14,"98",6076.12,"DP",18.8084117657014,"07","CONVENCIONAL"
"153",46.5,"132",1742.13,"ANC",0,"01","CONVENCIONAL RCMA"
"154",41.27,"132",1351.71,"ANC",3.60982306113482,"02","THROUGH-TUBING"
"155",96.94,"132",1863.5,"ANC",80.975959243458,"12","SUPER CONVENCIONAL"
"156",172.56,"130",265.7,"PF",0,"01","CONVENCIONAL"
"157",71.75,"4",3674.5,"DP",66.9058015978031,"03","CONVENCIONAL"
"158",45.78,"68",4734.3,"DP",6.73870053283871,"12","CONVENCIONAL"
"159",14.25,"34",62.3,"PA",0,"06","SUPER CONVENCIONAL"
"160",14.15,"34",62.3,"PA",0,"06","SUPER CONVENCIONAL"
"161",27.37,"64",4393,"LWO",2.1872384001926,"08","CONVENCIONAL"
"162",55.33,"64",4455.4,"LWO",276.731594275298,"08","CONVENCIONAL"
"163",30.62,"75",2890.42,"DP",52.4348420476469,"05","CONVENCIONAL"
"164",29.19,"75",4317.6,"DP",81.270601882258,"12","CONVENCIONAL"
"165",27.04,"73",2956.04,"LWO",40.3816680282606,"07","THROUGH-TUBING"
"166",26.94,"73",3182.41,"LWO",11.1824624225534,"02","CONVENCIONAL RCMA"
"167",37.08,"73",3100.39,"LWO",9.59530337530523,"09","CONVENCIONAL"
"168",19.46,"73",3047.9,"DP",1.37100789312117,"08","CONVENCIONAL"
"169",17.94,"73",2923.23,"DP",2.24890932763838,"11","CONVENCIONAL"
"170",9.27,"73",3149.61,"LWO",1.17673658247476,"12","THROUGH-TUBING"
"171",39.96,"73",3143.04,"LWO",10.2434609788068,"11","CONVENCIONAL"
"172",19.75,"73",3116.8,"LWO",7.37675661508398,"11","THROUGH-TUBING"
"173",9,"73",3136.48,"LWO",0.838120937554749,"01","THROUGH-TUBING"
"174",49.79,"91",4514.44,"LWO",3.64322556398155,"09","CONVENCIONAL RCMA"
"175",25.12,"91",3697.51,"LWO",0,"06","THROUGH-TUBING"
"176",20.19,"91",5380.58,"LWO",4.75360843592312,"12","THROUGH-TUBING"
"177",23.23,"91",4101.05,"LWO",0,"08","CONVENCIONAL RCMA"
"178",28.31,"11",298.6,"ANC",15.865782746596,"11","CONVENCIONAL"
"179",16.79,"41",639.8,"ANC",46.9230448094956,"09","CONVENCIONAL"
"180",52.67,"62",2716.5,"DP",18.8947842229125,"05","CONVENCIONAL RCMA"
"181",27.56,"62",4606.3,"DP",59.7449838130668,"06","CONVENCIONAL"
"182",46.02,"98",5830.05,"DP",3.78523045728587,"05","CONVENCIONAL"
